tahun,provinsi,kabupaten_kota,timbulan_harian_ton,timbulan_tahunan_ton,pengurangan_ton,pct_pengurangan,penanganan_ton,pct_penanganan,terkelola_ton,pct_terkelola,daur_ulang_ton,bahan_baku_ton,recycling_rate,periode,komposisi_makanan_pct,komposisi_kayu_pct,komposisi_kertas_pct,komposisi_plastik_pct,komposisi_logam_pct,komposisi_kain_pct,komposisi_karet_pct,komposisi_kaca_pct,komposisi_lainnya_pct,gap_tidak_tertangani_ton,kategori_pengelolaan
2025,Aceh,Kab. Aceh Timur,184.56,67363.09,0,0,0,0,,,,,,,25,27,9,15,7,5,5,7,,,Sangat Kurang (<30%)
2025,Aceh,Kab. Aceh Tengah,115.01,41977.88,0,0,1124.57,2.68,1124.57,2.68,0,1124.57,2.68,P 2,22,18,7,26,3,11,5,5,3,40854.08,Sangat Kurang (<30%)
2025,Aceh,Kab. Aceh Barat,84.39,30802.93,398.04,1.29,27860.24,90.45,28258.29,91.74,342.74,7734.14,26.22,P 2,46.05,16.97,8.25,18.94,0.6,3.63,1.17,1.13,3.26,2544.06,Baik (>80%)
2025,Aceh,Kab. Pidie,182.78,66713.53,0,0,0,0,,,,,,,8.5,7.5,19.3,35.7,4,1,3,2,19,,Sangat Kurang (<30%)
2025,Aceh,Kab. Aceh Utara,320.5,116983.78,0,0,1444.15,1.23,1444.15,1.23,0,1444.15,1.23,P 2,40,10,15,25,5,2,1,1,1,115538.35,Sangat Kurang (<30%)
2025,Aceh,Kab. Simeulue,46.23,16874.05,0,0,821.25,4.87,821.25,4.87,0,821.25,4.87,P 2,24.8,20.3,10.1,25.7,10.2,2.6,1.8,1.5,3,16052.7,Sangat Kurang (<30%)
2025,Aceh,Kab. Aceh Singkil,56,20440,0,0,2277.5,11.14,2277.5,11.14,0,2277.5,11.14,P 2,30,10,15,22,2,5,3,2,11,18162.5,Sangat Kurang (<30%)
2025,Aceh,Kab. Nagan Raya,72.78,26565.14,10.68,0.04,18732.4,70.51,18743.08,70.56,0.58,8840.9,33.28,P 2,47,5,2,35,1,2,3,1,4,7821.62,Cukup (60-80%)
2025,Aceh,Kota Banda Aceh,241.17,88025.52,914.66,1.04,57393.78,65.2,58308.44,66.24,905.76,15166.93,18.26,P 2,29.48,23.59,6.34,25.75,0.49,1.87,0.19,1.47,10.82,29718.61,Cukup (60-80%)
2025,Aceh,Kota Sabang,21.14,7716.16,0,0,0,0,,,,,,,20,10,5,20,10,5,5,15,10,,Sangat Kurang (<30%)
2025,Aceh,Kota Lhokseumawe,102.03,37239.37,0,0,0,0,,,,,,,54.4,2.28,15.04,15.03,2.12,0.16,0.82,1.01,9.14,,Sangat Kurang (<30%)
2025,Aceh,Kota Langsa,91.96,33564.31,0,0,0,0,,,,,,,36.2,15.5,10.5,14.3,3.5,4.3,2,3.2,10.5,,Sangat Kurang (<30%)
2025,Aceh,Kota Subulussalam,52.78,19263.42,0,0,0,0,,,,,,,20,15,20,20,2,5,5,3,10,,Sangat Kurang (<30%)
2025,Sumatera Utara,Kab. Simalungun,533.75,194818.57,0,0,0,0,,,,,,,5.5,1.93,15.44,20.46,0.37,7.7,4.5,8.6,35.5,,Sangat Kurang (<30%)
2025,Sumatera Utara,Kab. Toba,109.79,40073.35,0,0,0,0,,,,,,,19.15,11.47,2.13,12.18,1.25,9.56,15.23,9.45,19.58,,Sangat Kurang (<30%)
2025,Sumatera Utara,Kab. Humbang Hasundutan,103.54,37791.37,0,0,26548.05,70.25,26548.05,70.25,0,1892.3,5.01,P 2,19,48,10,13,3,1,0.2,0.8,5,11244.05,Cukup (60-80%)
2025,Sumatera Utara,Kota Tanjung Balai,94.03,34321.5,0,0,0,0,,,,,,,64.02,1.94,9.5,13.98,0.6,0.9,0.28,0.53,8.25,,Sangat Kurang (<30%)
2025,Sumatera Barat,Kab. Pesisir Selatan,160.14,58449.57,0,0,0,0,,,,,,,20.4,19.6,23,19,16,0.42,1.58,,,,Sangat Kurang (<30%)
2025,Sumatera Barat,Kab. Solok,164.17,59922.78,90.6,0.15,15277.59,25.5,15368.18,25.65,73,7612.59,12.83,P 2,35.5,15,13.5,23,3,2.5,2,2,3.5,44553.87,Sangat Kurang (<30%)
2025,Sumatera Barat,Kab. Tanah Datar,132.47,48349.91,0,0,0,0,,,,,,,69.34,,8.63,6,2.24,1.57,,3.33,8.89,,Sangat Kurang (<30%)
2025,Sumatera Barat,Kab. Padang Pariaman,22.96,8379.85,0,0,0,0,,,,,,,,,,,,,,,,,Sangat Kurang (<30%)
2025,Sumatera Barat,Kab. Agam,223.96,81746.46,0,0,0,0,,,,,,,,,,,,,,,,,Sangat Kurang (<30%)
